ID,plate,well,row,col,tip,rep,rwell,transfer_n,turnover_strain,treatment_with,turnover_id,infection_to_well,infection_to_well_id,transfer_from_well_id,transfer_to_well_id,exclude,pheno_str,pheno_num,phenotype,strategy
t0_P1_G8,1,152,G,8,4,2,40,0,B_r,none,t0_S_G14,,,,t1_P1_G8,,['0' '0' '1' '1'],3,B_r,No treatment
t0_P1_H7,1,175,H,7,4,1,40,0,B_r,none,t0_S_H13,,,,t1_P1_H7,,['0' '0' '1' '1'],3,B_r,No treatment
t0_P1_H8,1,176,H,8,4,3,40,0,B_r,none,t0_S_H14,,,,t1_P1_H8,,['0' '1' '1' '1'],7,A&B,No treatment
t0_P1_G9,1,153,G,9,4,0,41,0,A_r,none,t0_S_G9,,,,t1_P1_G9,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_G10,1,154,G,10,4,2,41,0,A_r,none,t0_S_G10,,,,t1_P1_G10,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_H9,1,177,H,9,4,1,41,0,A_r,none,t0_S_H9,,,,t1_P1_H9,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_H10,1,178,H,10,4,3,41,0,A_r,none,t0_S_H10,,,,t1_P1_H10,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_G11,1,155,G,11,4,0,42,0,B_r,none,t0_S_G13,11.0,t1_P1_A21,,t1_P1_G11,,['0' '1' '1' '1'],7,A&B,No treatment
t0_P1_G12,1,156,G,12,4,2,42,0,B_r,none,t0_S_G14,11.0,t1_P1_A22,,t1_P1_G12,,['0' '0' '1' '1'],3,B_r,No treatment
t0_P1_H11,1,179,H,11,4,1,42,0,B_r,none,t0_S_H13,11.0,t1_P1_B21,,t1_P1_H11,,['0' '0' '1' '1'],3,B_r,No treatment
t0_P1_H12,1,180,H,12,4,3,42,0,B_r,none,t0_S_H14,11.0,t1_P1_B22,,t1_P1_H12,,['0' '0' '1' '1'],3,B_r,No treatment
t0_P1_G13,1,157,G,13,4,0,43,0,A_r,none,t0_S_G9,,,,t1_P1_G13,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_G14,1,158,G,14,4,2,43,0,A_r,none,t0_S_G10,,,,t1_P1_G14,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_H13,1,181,H,13,4,1,43,0,A_r,none,t0_S_H9,,,,t1_P1_H13,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_H14,1,182,H,14,4,3,43,0,A_r,none,t0_S_H10,,,,t1_P1_H14,,['0' '1' '0' '1'],5,A_r,No treatment
t0_P1_G15,1,159,G,15,4,0,44,0,B_r,none,t0_S_G13,46.0,t1_P1_G19,,,,['0' '0' '1' '1'],3,B_r,No treatment
t0_P1_G16,1,160,G,16,4,2,44,0,B_r,none,t0_S_G14,46.0,t1_P1_G20,,,,['0' '0' '1' '1'],3,B_r,No treatment
t0_P1_H15,1,183,H,15,4,1,44,0,B_r,none,t0_S_H13,46.0,t1_P1_H19,,,,['0' '0' '1' '1'],3,B_r,No treatment
t0_P1_H16,1,184,H,16,4,3,44,0,B_r,none,t0_S_H14,46.0,t1_P1_H20,,,,['0' '0' '1' '1'],3,B_r,No treatment
t0_P1_G17,1,161,G,17,4,0,45,0,B_r,none,t0_S_G13,,,,,,['0' '0' '1' '1'],3,B_r,No treatment
